"Period","Date","Open","High","Low","Close","Volume","Currency"
"1","9/1/2021","4.403","4.706","4.378","4.615","241159","USD"
"2","9/2/2021","4.639","4.727","4.577","4.641","176845","USD"
"3","9/3/2021","4.627","4.718","4.586","4.712","110953","USD"
"4","9/5/2021","4.727","4.742","4.715","4.724","0","USD"
"5","9/6/2021","4.724","4.774","4.668","4.693","0","USD"
"6","9/7/2021","4.71","4.774","4.557","4.568","163663","USD"
"7","9/8/2021","4.598","5.01","4.585","4.914","244742","USD"
"8","9/9/2021","4.917","5.047","4.82","5.031","234848","USD"
"9","9/10/2021","5.002","5.058","4.913","4.938","151036","USD"
"10","9/13/2021","4.945","5.289","4.879","5.231","201770","USD"
"11","9/14/2021","5.199","5.369","5.171","5.26","200943","USD"
"12","9/15/2021","5.28","5.65","5.266","5.46","279117","USD"
"13","9/16/2021","5.41","5.6","5.228","5.335","221139","USD"
"14","9/17/2021","5.27","5.394","5.044","5.105","164579","USD"
"15","9/20/2021","5.015","5.172","4.905","4.985","156870","USD"
"16","9/21/2021","4.962","5.046","4.735","4.805","163097","USD"
"17","9/22/2021","4.811","4.898","4.744","4.805","108777","USD"
"18","9/23/2021","4.758","5.037","4.741","4.976","105201","USD"
"19","9/24/2021","5.036","5.183","4.99","5.14","47436","USD"
"20","9/27/2021","5.191","5.851","5.176","5.706","63065","USD"
"21","9/28/2021","5.8","6.28","5.602","5.841","5663","USD"
"22","9/29/2021","5.857","5.955","5.421","5.477","226344","USD"
"23","9/30/2021","5.457","5.994","5.341","5.867","243240","USD"
"24","10/1/2021","5.975","6.01","5.533","5.619","178941","USD"
"25","10/4/2021","5.628","6.064","5.628","5.766","209582","USD"
"26","10/5/2021","5.83","6.392","5.79","6.312","219522","USD"
"27","10/6/2021","6.321","6.466","5.663","5.675","274653","USD"
"28","10/7/2021","5.71","5.835","5.393","5.677","239503","USD"
"29","10/8/2021","5.761","5.876","5.548","5.565","163349","USD"
"30","10/11/2021","5.695","5.799","5.308","5.345","188699","USD"
"31","10/12/2021","5.408","5.523","5.168","5.505","215447","USD"
"32","10/13/2021","5.456","5.693","5.35","5.59","198786","USD"
"33","10/14/2021","5.676","5.964","5.604","5.687","169162","USD"
"34","10/15/2021","5.641","5.789","5.4","5.41","184583","USD"
"35","10/18/2021","5.299","5.37","4.955","4.989","167896","USD"
"36","10/19/2021","4.985","5.1","4.825","5.088","152725","USD"
"37","10/20/2021","5.066","5.221","4.912","5.17","140026","USD"
"38","10/21/2021","5.151","5.227","5.006","5.115","107707","USD"
"39","10/22/2021","5.196","5.379","5.121","5.28","74365","USD"
"40","10/25/2021","5.468","6.008","5.462","5.898","50883","USD"
"41","10/26/2021","5.959","6.091","5.595","5.882","50705","USD"
"42","10/27/2021","5.858","6.291","5.77","6.202","5782","USD"
"43","10/28/2021","6.138","6.206","5.713","5.782","165632","USD"
"44","10/29/2021","5.732","5.837","5.401","5.426","154410","USD"
"45","11/1/2021","5.31","5.497","5.116","5.186","163258","USD"
"46","11/2/2021","5.22","5.565","5.206","5.542","153757","USD"
"47","11/3/2021","5.553","5.865","5.465","5.67","141498","USD"
"48","11/4/2021","5.86","5.876","5.535","5.716","147035","USD"
"49","11/5/2021","5.67","5.76","5.501","5.516","133344","USD"
"50","11/8/2021","5.605","5.663","5.38","5.427","154221","USD"
"51","11/9/2021","5.41","5.467","4.91","4.979","202741","USD"
"52","11/10/2021","4.962","5.046","4.725","4.88","170388","USD"
"53","11/11/2021","4.917","5.176","4.889","5.149","135953","USD"
"54","11/12/2021","5.129","5.141","4.752","4.791","137099","USD"
"55","11/15/2021","4.903","5.065","4.713","5.017","117666","USD"
"56","11/16/2021","5.058","5.394","5.024","5.177","141140","USD"
"57","11/17/2021","5.159","5.165","4.8","4.816","145607","USD"
"58","11/18/2021","4.896","5.032","4.83","4.902","111027","USD"
"59","11/19/2021","4.895","5.156","4.838","5.065","110058","USD"
"60","11/22/2021","4.91","4.957","4.648","4.789","96186","USD"
"61","11/23/2021","4.796","5.082","4.757","4.967","47431","USD"
"62","11/24/2021","4.992","5.15","4.88","5.068","40864","USD"
"63","11/25/2021","5.089","5.136","5.029","5.087","0","USD"
"64","11/26/2021","5.025","5.562","4.983","5.447","6257","USD"
"65","11/29/2021","5.199","5.2","4.818","4.854","172471","USD"
"66","11/30/2021","4.873","4.9","4.482","4.567","171822","USD"
"67","12/1/2021","4.606","4.664","4.22","4.258","171938","USD"
"68","12/2/2021","4.265","4.335","4.042","4.056","145506","USD"
"69","12/3/2021","4.105","4.285","4.066","4.132","124765","USD"
"70","12/6/2021","3.826","3.886","3.63","3.657","176715","USD"
"71","12/7/2021","3.68","3.829","3.657","3.708","162973","USD"
"72","12/8/2021","3.734","3.931","3.723","3.815","146872","USD"
"73","12/9/2021","3.818","3.924","3.725","3.814","141107","USD"
"74","12/10/2021","3.798","3.965","3.76","3.925","133283","USD"
"75","12/13/2021","3.975","4.085","3.77","3.794","162586","USD"
"76","12/14/2021","3.802","3.84","3.686","3.747","116826","USD"
"77","12/15/2021","3.785","3.926","3.766","3.802","110311","USD"
"78","12/16/2021","3.814","3.976","3.729","3.766","122851","USD"
"79","12/17/2021","3.783","3.814","3.617","3.69","101625","USD"
"80","12/20/2021","3.645","3.924","3.642","3.834","128582","USD"
"81","12/21/2021","3.84","3.947","3.719","3.869","128438","USD"
"82","12/22/2021","3.87","4.041","3.816","3.976","86619","USD"
"83","12/23/2021","3.97","4.006","3.599","3.731","82233","USD"
"84","12/27/2021","3.958","4.087","3.767","4.06","38911","USD"
"85","12/28/2021","4.065","4.154","3.955","4.055","35643","USD"
"86","12/29/2021","4.08","4.261","3.905","4.024","4817","USD"
"87","12/30/2021","3.853","3.966","3.536","3.561","124667","USD"
"88","12/31/2021","3.589","3.794","3.572","3.73","93098","USD"
"89","1/3/2022","3.702","3.858","3.638","3.815","99069","USD"
"90","1/4/2022","3.817","3.944","3.709","3.717","133394","USD"
"91","1/5/2022","3.747","3.897","3.717","3.882","96811","USD"
