"Periode ke","date","TS","WS10M","PRECTOT","WS50M","T2M","PS","T2MWET","T2MDEW"
"1","1/1/2019","12.82","1.2","0.24","2.8","12.92","99.7","11.21","11.26"
"2","1/2/2019","9.33","1.25","13.69","2.43","9.31","99.72","8.44","8.46"
"3","1/3/2019","9.83","1.72","16.65","3.53","9.83","99.26","9.37","9.35"
"4","1/4/2019","9.9","3.2","12.08","6.13","9.94","98.53","8.44","8.9"
"5","1/5/2019","6.77","1.99","0.02","3.86","7.02","99.51","4.42","4.43"
"6","1/6/2019","7.49","1.38","0","2.26","9.48","99.84","5.34","5.47"
"7","1/7/2019","10.66","2.16","0.01","5.25","10.71","99.75","8.35","8.42"
"8","1/8/2019","13.04","2.48","0.19","5.35","13.1","99.68","11.38","11.44"
"9","1/9/2019","4.65","2.71","0","5.66","4.71","100.07","1.22","1.31"
"10","1/10/2019","0.35","2.32","0","4.78","0.34","100.13","-3.48","-3.54"
"11","1/11/2019","2.92","1.58","0","3.38","3.17","100.01","-0.48","-0.2"
"12","1/12/2019","7.17","2.61","15.07","5.16","7.17","99.6","6.03","6.26"
"13","1/13/2019","7.44","2.24","0.51","4.34","7.47","99.78","5.81","5.89"
"14","1/14/2019","3.93","1.87","0.02","3.66","3.91","100.25","1.92","1.87"
"15","1/15/2019","2.42","1.33","0","2.47","2.91","100.22","-0.09","-0.11"
"16","1/16/2019","2.32","1.12","0","1.71","4.22","100.12","0.15","0.2"
"17","1/17/2019","5.32","1.9","6.01","4.03","5.5","99.75","4.93","5.17"
"18","1/18/2019","9.91","1.21","0.95","2.47","10.7","99.42","9.14","9.18"
"19","1/19/2019","11.83","4.39","34.2","8.09","11.91","98.31","10.9","11.63"
"20","1/20/2019","-0.81","3.52","0.21","6.41","-0.82","99.72","-4.41","-4.56"
"21","1/21/2019","-1.21","1.97","0","4.02","-1.23","100.48","-5.26","-5.4"
"22","1/22/2019","4.57","3.2","0.05","6.13","4.53","100.29","1.68","2.32"
"23","1/23/2019","10.67","3.89","43.93","7.13","10.77","98.95","10.03","10.37"
"24","1/24/2019","1.6","2.58","0.51","5.05","1.58","99.34","-1.63","-1.58"
"25","1/25/2019","0.46","1.78","0","3.42","1.13","100.19","-2.89","-2.93"
"26","1/26/2019","1.89","1.62","0","3.02","3","100.05","-1.08","-0.91"
"27","1/27/2019","4.64","1.56","0","3.56","5.07","99.53","2.57","2.65"
"28","1/28/2019","7.19","2.2","0.36","4.88","7.19","99.04","4.89","5.01"
"29","1/29/2019","0.12","2.93","3.89","5.43","0.19","99.56","-3.25","-2.73"
"30","1/30/2019","-1.58","2","0","3.8","-1.19","100.12","-4.55","-4.64"
"31","1/31/2019","1.51","1.52","0","3.32","1.93","100.32","-2.6","-2.51"
"32","2/1/2019","5.23","1.74","0","3.58","6.68","100.13","1.37","1.53"
"33","2/2/2019","9.28","1.66","0.01","3.39","9.98","99.85","6.32","6.7"
"34","2/3/2019","12.3","1.45","0.02","3.52","12.45","99.41","10.8","10.86"
"35","2/4/2019","13.54","2.11","0.56","4.78","13.56","99.28","12.81","12.9"
"36","2/5/2019","16.69","1.74","1.8","4.14","16.72","99.41","15.7","15.71"
"37","2/6/2019","18.93","2.69","0.85","5.57","18.97","99.37","17.62","17.62"
"38","2/7/2019","18.6","3.11","1.8","6.15","18.68","99.39","16.92","17.01"
"39","2/8/2019","4.3","3.63","0.56","6.23","4.29","100.7","-1.2","-0.9"
"40","2/9/2019","4.21","2.26","0.18","4.48","4.15","101.02","0.08","0.34"
"41","2/10/2019","7.39","2.33","0.41","4.58","7.38","100.39","5.75","5.93"
"42","2/11/2019","12.87","2.38","2.82","4.69","12.83","99.37","11.99","12.24"
"43","2/12/2019","13.18","3.57","27.31","6.82","13.3","99.06","12.12","12.85"
"44","2/13/2019","5.14","1.87","0","3.77","6.01","99.92","0.56","0.64"
"45","2/14/2019","7.88","2.76","0","5.89","7.91","99.26","5.22","5.53"
"46","2/15/2019","14.24","2.3","8.41","4.73","14.25","98.67","13.59","13.64"
"47","2/16/2019","9.96","2.09","1.52","3.61","9.91","98.64","7.26","7.67"
"48","2/17/2019","13.07","2.5","20.23","4.54","13.06","98.65","12.21","12.74"
"49","2/18/2019","7.07","2.74","1.06","4.89","7.04","100.01","2.94","3.04"
"50","2/19/2019","6.11","3.47","33.83","5.99","6.07","100.15","4.72","4.88"
"51","2/20/2019","12.39","3.68","29.48","6.68","12.44","99.13","11.75","12.26"
"52","2/21/2019","12.89","1.68","21.75","2.97","12.9","99.48","12.04","12.15"
"53","2/22/2019","14.72","1.15","22.1","2.44","14.71","99.6","13.81","14.04"
"54","2/23/2019","19.17","3.83","26.34","7.27","19.17","99.1","17.98","18.02"
"55","2/24/2019","10.68","3.54","2.26","7.03","10.78","99.61","7.03","7.75"
"56","2/25/2019","7.04","1.89","0","3.82","7.48","100.51","1.93","2.07"
"57","2/26/2019","10.97","1.57","0","3.97","11.01","100.13","7.28","7.6"
"58","2/27/2019","15.31","1.27","1.69","2.65","15.81","99.6","12.59","12.75"
"59","2/28/2019","16.24","1.93","16.88","4.06","16.37","99.13","15.33","15.32"
"60","3/1/2019","13.24","1.8","2.07","3.41","13.33","99.29","11.79","11.9"
"61","3/2/2019","10.26","1.28","0.4","2.48","10.19","99.56","7.89","7.92"
"62","3/3/2019","8.19","2.51","31.83","4.44","8.19","99.09","6.56","6.92"
"63","3/4/2019","0.85","3.01","0.12","5.22","0.76","99.78","-3.21","-3.28"
"64","3/5/2019","-0.49","2.67","0","5.02","-0.57","100.21","-5.33","-5.53"
"65","3/6/2019","0.37","1.78","0","3.23","0.85","100.56","-4.82","-4.96"
"66","3/7/2019","5.38","1.69","0","3.65","5.59","100.17","-0.21","0.28"
"67","3/8/2019","13.49","2.75","1.78","5.75","13.47","99.45","11.51","11.94"
"68","3/9/2019","17.06","3.64","7.72","7.05","17.09","99.06","15.98","15.98"
"69","3/10/2019","18.28","1.42","6.39","3.13","18.44","99.59","13.62","13.92"
"70","3/11/2019","12.28","1.9","2.63","3.99","12.39","100.07","9.93","9.95"
"71","3/12/2019","13.59","1.47","0","3.36","13.61","100.03","8.47","8.65"
"72","3/13/2019","15.61","3.42","0","6.94","15.62","99.42","13.09","13.25"
"73","3/14/2019","19.77","4.28","12.96","8.19","19.8","99.06","17.94","18.05"
"74","3/15/2019","12.35","2.43","1.61","4.77","12.39","99.72","8.52","8.81"
"75","3/16/2019","7.46","2.37","0","4.93","7.45","100.22","2.81","2.93"
"76","3/17/2019","8.55","1.94","0","4.39","8.53","100.08","3.37","3.62"
"77","3/18/2019","7.76","2.49","0","5.27","7.75","100.26","2.74","2.79"
"78","3/19/2019","6.75","2.06","0","4.27","6.97","100.3","1.35","1.45"
"79","3/20/2019","9.01","1.56","0","3.17","9.56","99.79","3.43","3.68"
"80","3/21/2019","10.38","2.75","0.35","5.61","10.38","99.3","6.61","6.62"
"81","3/22/2019","9.18","2.05","0","4.77","9.16","99.63","5.25","5.39"
"82","3/23/2019","11.44","1.58","0","3.32","12.3","99.95","5.4","5.47"
"83","3/24/2019","13.04","1.88","0.1","4.72","13.06","99.8","9.4","9.66"
"84","3/25/2019","15.01","2.61","2.95","5.33","15.03","99.25","13.05","13.14"
"85","3/26/2019","10.52","2.85","0.05","5.47","10.5","99.8","6.06","6.12"
"86","3/27/2019","11.46","1.69","0","3.65","11.49","100.22","6.95","7.15"
"87","3/28/2019","11.99","2.01","0","4.52","12","100.19","6.91","7.09"
"88","3/29/2019","13.35","1.61","0","3.98","13.44","99.7","11.02","11.2"
"89","3/30/2019","17.38","3.01","7.04","5.96","17.42","99.11","14.72","14.86"
"90","3/31/2019","6.8","3.12","1.94","5.86","6.77","99.8","1.71","1.79"
"91","4/1/2019","7.68","1.64","0.04","3.22","8.09","99.86","0.86","1.06"
"92","4/2/2019","9.88","1.69","0.02","3.21","10.34","99.73","4.61","4.73"
"93","4/3/2019","12.01","1.78","0","3.84","12.35","100.17","6.26","6.59"
"94","4/4/2019","12.86","2.04","8.38","4.66","12.86","99.81","11.49","11.64"
"95","4/5/2019","17.03","1.47","1.05","3.1","17.41","99.4","13.99","14.04"
"96","4/6/2019","19.59","1.43","17.04","3.48","19.53","99.5","16.86","17.09"
"97","4/7/2019","20.18","1.9","2.54","4.43","20.2","99.54","17.93","17.94"
"98","4/8/2019","19.78","1.82","22.17","4.28","19.81","98.87","19.12","19.1"
"99","4/9/2019","18.95","1.7","4.89","4.19","18.97","98.51","16.94","16.94"
"100","4/10/2019","19.8","1.57","0.08","3.74","19.95","98.65","14.16","14.29"
"101","4/11/2019","21.16","3.08","0","6.37","21.16","98.65","17.42","17.52"
"102","4/12/2019","19.59","1.73","1.58","3.63","19.78","99.12","17.45","17.47"
"103","4/13/2019","19.51","2.61","21.02","5.53","19.5","98.91","17.55","17.61"
"104","4/14/2019","16.69","4.52","19.24","8.29","16.75","98.32","13.37","14.32"
"105","4/15/2019","11.32","1.55","0","2.76","12.41","99.64","6.04","6.17"
"106","4/16/2019","15.43","1.9","0","4.51","15.57","99.79","10.06","10.39"
"107","4/17/2019","16.96","1.86","0","4.36","16.95","99.38","13.46","13.57"
"108","4/18/2019","19.88","3.32","16.25","6.71","19.87","98.54","16.97","16.99"
"109","4/19/2019","11.22","3.21","32.17","5.74","11.23","97.99","9.26","9.62"
"110","4/20/2019","9.98","3.07","1.88","6.35","9.95","98.74","6.24","6.25"
"111","4/21/2019","13.87","1.33","0","2.73","15.14","99.59","7.82","8.01"
"112","4/22/2019","17.39","1.43","0","2.42","18.65","99.76","10.94","11.18"
"113","4/23/2019","18.37","1.62","0","3.71","18.58","99.53","14.29","14.44"
"114","4/24/2019","19.4","1.73","0","4.23","19.4","99.14","14.69","14.82"
"115","4/25/2019","18.69","2.5","8.19","5.14","18.7","98.73","17.42","17.38"
"116","4/26/2019","16.53","2.87","0.81","6.2","16.56","99.03","12.01","12.21"
