"t","date","TS (Yt)","TS (Yt-1)","T2MDEW (Xt1)","PS (Xt2)","PRECTOT (Xt3)"
"1","1/1/2019","12.82","","11.26","99.7","0.24"
"2","1/2/2019","9.33","12.82","8.46","99.72","13.69"
"3","1/3/2019","9.83","9.33","9.35","99.26","16.65"
"4","1/4/2019","9.9","9.83","8.9","98.53","12.08"
"5","1/5/2019","6.77","9.9","4.43","99.51","0.02"
"6","1/6/2019","7.49","6.77","5.47","99.84","0"
"7","1/7/2019","10.66","7.49","8.42","99.75","0.01"
"8","1/8/2019","13.04","10.66","11.44","99.68","0.19"
"9","1/9/2019","4.65","13.04","1.31","100.07","0"
"10","1/10/2019","0.35","4.65","-3.54","100.13","0"
"11","1/11/2019","2.92","0.35","-0.2","100.01","0"
"12","1/12/2019","7.17","2.92","6.26","99.6","15.07"
"13","1/13/2019","7.44","7.17","5.89","99.78","0.51"
"14","1/14/2019","3.93","7.44","1.87","100.25","0.02"
"15","1/15/2019","2.42","3.93","-0.11","100.22","0"
"16","1/16/2019","2.32","2.42","0.2","100.12","0"
"17","1/17/2019","5.32","2.32","5.17","99.75","6.01"
"18","1/18/2019","9.91","5.32","9.18","99.42","0.95"
"19","1/19/2019","11.83","9.91","11.63","98.31","34.2"
"20","1/20/2019","-0.81","11.83","-4.56","99.72","0.21"
"21","1/21/2019","-1.21","-0.81","-5.4","100.48","0"
"22","1/22/2019","4.57","-1.21","2.32","100.29","0.05"
"23","1/23/2019","10.67","4.57","10.37","98.95","43.93"
"24","1/24/2019","1.6","10.67","-1.58","99.34","0.51"
"25","1/25/2019","0.46","1.6","-2.93","100.19","0"
"26","1/26/2019","1.89","0.46","-0.91","100.05","0"
"27","1/27/2019","4.64","1.89","2.65","99.53","0"
"28","1/28/2019","7.19","4.64","5.01","99.04","0.36"
"29","1/29/2019","0.12","7.19","-2.73","99.56","3.89"
"30","1/30/2019","-1.58","0.12","-4.64","100.12","0"
"31","1/31/2019","1.51","-1.58","-2.51","100.32","0"
"32","2/1/2019","5.23","1.51","1.53","100.13","0"
"33","2/2/2019","9.28","5.23","6.7","99.85","0.01"
"34","2/3/2019","12.3","9.28","10.86","99.41","0.02"
"35","2/4/2019","13.54","12.3","12.9","99.28","0.56"
"36","2/5/2019","16.69","13.54","15.71","99.41","1.8"
"37","2/6/2019","18.93","16.69","17.62","99.37","0.85"
"38","2/7/2019","18.6","18.93","17.01","99.39","1.8"
"39","2/8/2019","4.3","18.6","-0.9","100.7","0.56"
"40","2/9/2019","4.21","4.3","0.34","101.02","0.18"
"41","2/10/2019","7.39","4.21","5.93","100.39","0.41"
"42","2/11/2019","12.87","7.39","12.24","99.37","2.82"
"43","2/12/2019","13.18","12.87","12.85","99.06","27.31"
"44","2/13/2019","5.14","13.18","0.64","99.92","0"
"45","2/14/2019","7.88","5.14","5.53","99.26","0"
"46","2/15/2019","14.24","7.88","13.64","98.67","8.41"
"47","2/16/2019","9.96","14.24","7.67","98.64","1.52"
"48","2/17/2019","13.07","9.96","12.74","98.65","20.23"
"49","2/18/2019","7.07","13.07","3.04","100.01","1.06"
"50","2/19/2019","6.11","7.07","4.88","100.15","33.83"
"51","2/20/2019","12.39","6.11","12.26","99.13","29.48"
"52","2/21/2019","12.89","12.39","12.15","99.48","21.75"
"53","2/22/2019","14.72","12.89","14.04","99.6","22.1"
"54","2/23/2019","19.17","14.72","18.02","99.1","26.34"
"55","2/24/2019","10.68","19.17","7.75","99.61","2.26"
"56","2/25/2019","7.04","10.68","2.07","100.51","0"
"57","2/26/2019","10.97","7.04","7.6","100.13","0"
"58","2/27/2019","15.31","10.97","12.75","99.6","1.69"
"59","2/28/2019","16.24","15.31","15.32","99.13","16.88"
"60","3/1/2019","13.24","16.24","11.9","99.29","2.07"
"61","3/2/2019","10.26","13.24","7.92","99.56","0.4"
"62","3/3/2019","8.19","10.26","6.92","99.09","31.83"
"63","3/4/2019","0.85","8.19","-3.28","99.78","0.12"
"64","3/5/2019","-0.49","0.85","-5.53","100.21","0"
"65","3/6/2019","0.37","-0.49","-4.96","100.56","0"
"66","3/7/2019","5.38","0.37","0.28","100.17","0"
"67","3/8/2019","13.49","5.38","11.94","99.45","1.78"
"68","3/9/2019","17.06","13.49","15.98","99.06","7.72"
"69","3/10/2019","18.28","17.06","13.92","99.59","6.39"
"70","3/11/2019","12.28","18.28","9.95","100.07","2.63"
"71","3/12/2019","13.59","12.28","8.65","100.03","0"
"72","3/13/2019","15.61","13.59","13.25","99.42","0"
"73","3/14/2019","19.77","15.61","18.05","99.06","12.96"
"74","3/15/2019","12.35","19.77","8.81","99.72","1.61"
"75","3/16/2019","7.46","12.35","2.93","100.22","0"
"76","3/17/2019","8.55","7.46","3.62","100.08","0"
"77","3/18/2019","7.76","8.55","2.79","100.26","0"
"78","3/19/2019","6.75","7.76","1.45","100.3","0"
"79","3/20/2019","9.01","6.75","3.68","99.79","0"
"80","3/21/2019","10.38","9.01","6.62","99.3","0.35"
"81","3/22/2019","9.18","10.38","5.39","99.63","0"
"82","3/23/2019","11.44","9.18","5.47","99.95","0"
"83","3/24/2019","13.04","11.44","9.66","99.8","0.1"
"84","3/25/2019","15.01","13.04","13.14","99.25","2.95"
"85","3/26/2019","10.52","15.01","6.12","99.8","0.05"
"86","3/27/2019","11.46","10.52","7.15","100.22","0"
"87","3/28/2019","11.99","11.46","7.09","100.19","0"
"88","3/29/2019","13.35","11.99","11.2","99.7","0"
"89","3/30/2019","17.38","13.35","14.86","99.11","7.04"
"90","3/31/2019","6.8","17.38","1.79","99.8","1.94"
"91","4/1/2019","7.68","6.8","1.06","99.86","0.04"
"92","4/2/2019","9.88","7.68","4.73","99.73","0.02"
"93","4/3/2019","12.01","9.88","6.59","100.17","0"
"94","4/4/2019","12.86","12.01","11.64","99.81","8.38"
"95","4/5/2019","17.03","12.86","14.04","99.4","1.05"
"96","4/6/2019","19.59","17.03","17.09","99.5","17.04"
"97","4/7/2019","20.18","19.59","17.94","99.54","2.54"
"98","4/8/2019","19.78","20.18","19.1","98.87","22.17"
"99","4/9/2019","18.95","19.78","16.94","98.51","4.89"
"100","4/10/2019","19.8","18.95","14.29","98.65","0.08"
"101","4/11/2019","21.16","19.8","17.52","98.65","0"
